time,data
1709558270776,0
1709558272778,0
1709558274772,0
1709558276776,0
1709558278770,0
1709558280771,0
1709558282770,0
1709558284780,0
1709558286774,0
1709558288775,0
1709558290772,0
1709558292775,0
1709558294773,0
1709558296770,0
1709558298772,1761
1709558300784,869
1709558302780,867
1709558304771,868
1709558306781,867
1709558308777,866
1709558310773,869
1709558312778,869
1709558314827,869
1709558316776,867
1709558318776,869
1709558320770,863
1709558322770,870
1709558324774,866
1709558326775,868
1709558328778,868
1709558330770,871
1709558332774,867
1709558334787,865
1709558336770,864
1709558338771,867
1709558340771,867
1709558342770,866
1709558344782,867
1709558346772,869
1709558348778,868
1709558350770,865
1709558352772,867
1709558354770,867
1709558356774,868
1709558358775,865
1709558360773,866
1709558362771,866
1709558364770,873
1709558366770,867
1709558368772,866
1709558370772,864
1709558372778,867
1709558374770,874
1709558376770,865
1709558378773,865
1709558380770,865
1709558382774,866
1709558384771,866
1709558386775,864
1709558388771,868
1709558390786,866
1709558392772,864
1709558394770,867
1709558396776,868
1709558398773,865
1709558400777,866
1709558402773,863
1709558404773,865
1709558406771,868
1709558408771,865
1709558410773,865
1709558412772,867
1709558414778,866
1709558416790,867
1709558418776,867
1709558420774,866
1709558422770,867
1709558424775,867
1709558426771,867
1709558428773,865
1709558430772,866
1709558432771,864
1709558434770,865
1709558436773,865
1709558438786,880
1709558440776,865
1709558442773,865
1709558444777,869
1709558446774,867
1709558448777,866
1709558450771,866
1709558452771,866
1709558454771,865
1709558456774,863
1709558458774,863
1709558460781,866
1709558462774,860
1709558464771,865
1709558466776,866
1709558468771,867
1709558470771,867
1709558472772,865
1709558474773,864
1709558476773,866
1709558478774,867
1709558480772,869
1709558482771,867
1709558484771,866
1709558486772,865
1709558488771,867
1709558490773,863
1709558492772,855
1709558494772,878
1709558496771,865
1709558498771,873
1709558500774,867
1709558502772,871
1709558504773,870
1709558506790,866
1709558508775,865
1709558510772,864
1709558512771,867
1709558514779,866
1709558516771,867
1709558518775,866
1709558520783,865
1709558522771,855
1709558524771,858
1709558526782,866
1709558528777,867
1709558530781,866
1709558532771,867
1709558534772,874
1709558536772,866
1709558538772,864
1709558540773,868
1709558542771,868
1709558544773,865
1709558546773,865
1709558548778,865
1709558550776,868
1709558552776,865
1709558554773,866
1709558556773,869
1709558558778,866
1709558560772,865
1709558562774,867
1709558564771,865
1709558566779,865
1709558568772,865
